# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 18:34:15
# Generated from file: Y:\Ellin\2021\SCiLS files\2021-07-27_NE_MB_posMS_DHBsublim.slx
# Object Full Name: PCA_2021-07-27_MB_DHB
# Object ID: 9aabae3d-923a-4cc5-9977-7b5e94506778
# Object type: PCA
# Object creation time: 2021-07-28 21:45:40
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
0;-171427104.382684;-18567375.202604;158560.618296841;-2731525.57676737;2040617.61228924
1;-120293767.300553;-2627309.78829956;-3241667.23672922;-3670581.50005868;5332373.13957843
2;-95880395.6589239;7854039.43386221;1217890.13562058;-6991672.65181091;5418401.82616854
3;-104362953.033863;1870264.08717523;4009493.80662931;-7403931.04474535;4450928.74843897
4;-93546406.6813476;4991348.55604362;-199313.728849043;-6045868.97445757;4906299.02104496
5;-88447889.2330501;8022572.44699613;4991861.75249995;-8819486.66401866;3218499.69647893
6;-120927183.585081;-1711947.65746223;-552021.410450254;-5547437.44988083;4690596.55550504
7;-105070894.347713;6558746.86499973;-1175202.94827128;-6174587.92093409;3070856.40321162
8;-127033621.993337;-568891.096505442;-1226408.6692193;-5871294.5138909;3920452.46021696
9;-106866368.813046;5583645.7032985;568198.382129196;-6717574.05191435;4054764.62686273
10;-133793811.035845;-1522857.46884;-1447422.23138297;-5465508.14615201;3946720.91260706
11;-100061585.517793;2425966.23761049;-1371321.52919161;-5858872.91969584;5107761.6261349
12;-111345797.604657;-1330874.25795013;-2844798.78004745;-4604975.97122487;5087688.96241391
13;-131013954.224818;-19964670.9337371;1464752.21904934;-2846690.05382262;7471859.88169549
14;-128186882.28347;-7559359.87320563;2038121.75132839;-4111291.23679381;7361556.47453997
15;-98947168.0299762;5517250.77246831;536922.195722012;-4228371.35752125;6786695.25617574
16;-101537705.373935;10263056.4786458;-1090135.88082379;-5496602.93143854;4392014.05193737
17;-92870133.8458623;9963369.64640187;-113011.912388364;-6393396.06173579;5006728.23308394
18;-87197338.6660757;10349749.8489343;-5135673.2850962;-3751862.24535825;5065039.85164194
19;-88700523.5365867;2352848.45134339;-6389527.14184555;-1713886.22648337;3210190.1255746
20;-78411096.3374077;533322.902478722;-10862337.7744925;-250997.16814734;65361.6747483929
21;-73841525.5631436;-3148925.86715438;-6519769.65234164;-1538255.2924782;2182332.49579315
22;-80232885.7994621;-1522499.49806707;-12023646.5734096;-265861.520278904;514344.155765843
23;-71062851.7790172;-2340305.92644211;-12332531.563388;-1035334.42555034;1742267.8562543
24;-83789407.8361651;4342153.37483129;-8304284.65674113;-1833398.95722095;636528.512417086
25;-98055947.9271778;6960453.95165005;-7195571.10763367;-3403736.72675407;1707569.96402534
26;-106641618.490682;10171609.1251408;-3478599.92971501;-6037801.68535857;813259.150170444
27;-97943226.4885871;13248813.9287228;-856619.065126108;-5286114.32389281;4268477.24457203
28;-94411507.5401735;7034825.86579326;-2086596.74125945;-5465882.8652938;5858627.94124085
29;-134020621.167192;-5739349.09239332;-772326.349320619;-4905473.8044896;7804616.83422456
30;-177378561.529279;-20784868.6743911;1510541.41493343;-3507786.1627068;1860284.98120165
31;-105552863.372515;3679429.70800672;-2003019.67031622;-7159105.45310101;3010502.91516415
32;-109066391.109741;9564503.89911198;-1959520.0411614;-8073867.94276004;1217871.41018454
33;-96182732.4120222;5993103.43478118;-2091670.9752256;-7537192.18512685;526173.789774761
34;-77071299.4132462;-2334026.11674758;-10510556.0700254;-2396133.63914132;3430955.50346575
35;-93929234.7435351;-933839.070596068;-13789507.7635704;-1068898.96002805;4088502.6992722
36;-101088011.829966;4471378.80699803;-6980758.62358066;-3949624.92505174;5401525.53750631
37;-85590905.2166064;433152.249444845;3890973.30982053;-6308593.67686028;8384323.06006329
38;-109210003.956778;8871030.24323667;-2430288.43178793;-4459570.39706386;8826231.82742126
39;-105303372.669279;3272229.19994925;-10480982.2254246;-622926.295374279;5785304.9753979
40;-79310115.9028078;-3680411.96942939;-7614920.26155028;-605173.671047021;4869549.06014483
41;-75637253.7172311;-2320183.55436849;-13075083.2456286;1133129.62619231;3410831.39211432
42;-78668661.498195;-2881358.07630804;-14583159.5404027;1462383.26385996;2898650.48097766
43;-88675759.3891556;-2130880.95226925;-13859858.5887595;1946360.15751913;273063.811496107
44;-94612935.6735477;-2220114.63311502;-12861005.9348629;1894740.50667329;-1395149.4589648
45;-103834757.467154;-1560513.31994922;-14486901.3695938;2144848.12643297;-612113.338794657
46;-97623131.8081832;-2572399.7450594;-12111996.8585755;2188849.66633006;-1688497.84031496
47;-87505711.5030143;-2887772.64316356;-13477740.1772597;2390463.66699116;-454302.742143889
48;-101908784.062646;-244398.407338514;-14507722.6313378;1862929.56773757;-367898.484133426
49;-84264470.5106167;-1872232.24693515;-14333487.6189391;869797.726927199;716151.53666887
50;-72588723.3376117;-2720408.74518891;-14872411.5215643;1644086.80657868;1146494.48174712
51;-76311795.752875;1034534.91892221;-12996762.5795654;-109591.812239203;2479108.2230228
52;-91983698.7818241;6966336.43399101;-6215201.54787256;-2294908.05930234;3308448.93086974
53;-96274736.1790816;13289387.7784483;-336970.47626533;-5819457.05440229;4878261.94391604
54;-117180689.776475;2132795.55351212;-1401247.33421484;-2442816.17434717;7627513.30330104
55;-92944960.3553809;1526793.03504266;-2145388.92886836;-6487241.05975698;5609856.7883924
56;-88596670.3362568;7664688.09634909;-3668004.53577346;-7781156.85419538;4464879.3158633
57;-95394590.5947245;8568820.58057323;-3520186.68190376;-8473560.99112602;2744601.81373562
58;-82308686.8279628;-2526767.15400344;-2791222.50954396;-6505533.89139604;3190045.10851356
59;-89787348.7984314;-1571455.42078875;-13029484.808358;-1431212.24704178;1070053.30222819
60;-85676723.7064649;-3950669.00359976;-17663819.4723825;381132.036301264;1224115.57944136
61;-94429659.2631339;-7075650.19678671;-14029280.188147;764911.238966156;2073856.37544228
62;-76300576.9885634;-6908620.11273405;-12091365.5004862;-355584.757754999;3811552.45588573
63;-99284609.6079455;7925476.72985388;-3191766.54829942;-6069620.51324223;5826641.08623222
64;-95361431.7057702;9688075.05744621;-3761798.61803719;-3981829.76993308;7461732.71530607
65;-100733320.48521;10961831.3041043;-3155212.65467405;-4387640.64649854;6470269.09122921
66;-59232312.0302031;-5940871.61401554;-8356033.69011694;-385291.814194397;4451773.87340226
67;-93836798.6854003;-1743876.99672869;-14536422.5144262;3389037.98710095;1377378.39459694
68;-103032485.865752;-3937171.5855575;-10079983.957349;2896669.88162218;1974616.59936853
69;-108028091.107917;-1505985.29358724;-15896075.8323591;3325453.63135102;752888.619056631
70;-93124196.6925762;-1008917.51043135;-16064195.9263499;3079952.26572324;-854515.600670215
71;-94455071.7994538;-2489963.19528964;-15528538.6601826;2709409.46354777;-1083607.32339731
72;-74978569.7594759;-3623590.61767769;-12717048.3153817;1862971.04931826;-1524254.68401934
73;-78179138.9110643;-3310839.9820947;-13461833.8652352;1385812.47173973;-1800147.24395843
74;-81958012.8810909;-3373623.8953465;-14477582.4238924;2429489.70772689;-1555040.99947389
75;-98178754.7368314;-853676.742573519;-15464328.2603751;3045781.39721954;-1041631.88392368
76;-104867121.92322;-1705449.73116964;-15108987.6661188;3763944.50803021;-1183625.76093798
77;-107660445.410776;-1102553.55640972;-13637168.2501399;3365529.68373295;506417.026204755
78;-74387998.7423943;-2542026.81911403;-14644171.8852518;1556770.11497974;1879229.26802673
79;-92867273.0477488;-2580320.04787929;-15415119.9232797;2092831.68034056;2575877.17941151
80;-83347494.6550596;553849.078941996;-13705516.860627;1285997.07695488;4321726.9900471
81;-100388164.177288;11864058.5809234;-4648945.05220953;-3284439.93561583;7788334.34701992
82;-89151569.8504289;6368410.78081275;-1692639.21870587;-3651677.73621396;11656203.2087103
83;-94491306.3217665;-5513659.85431676;2137506.24328989;-5082279.29126347;7152705.42290702
84;-86693055.1161203;2073182.65492873;-1648162.87091749;-4889397.35683905;8867254.0447812
85;-150350289.851495;-13104185.8381763;115606.93224111;-4645359.25612186;4781322.33552709
86;-96540696.1259096;1392171.19014742;1887769.78968248;-8095819.09569626;4371197.82431745
87;-91144277.4274442;9031460.8555287;-3759976.0933851;-7493951.48334076;3901045.92919458
88;-83412447.9789521;10919739.301856;-5921701.32056119;-8449530.51783984;2034556.10585523
89;-110308362.10537;8295726.75119588;-5981675.82359329;-6458152.08837142;-37511.4213760393
90;-98839946.3486075;-4160964.08297042;-16976371.2874106;725164.015878192;2084408.03404402
91;-75691026.9400005;-6097635.22476308;-17044911.2005746;452888.146787238;-1277558.51276834
92;-96151950.3072581;-6238457.38425386;-13268665.8465893;2332909.04990755;-1511071.76265584
93;-111870144.004687;-2769792.14509008;-16125497.4933546;2756872.17401887;-171438.009449145
94;-97398257.7415598;-3026814.75664199;-12188963.4771573;-94704.1604991045;3647399.31510862
95;-104115599.480786;11817418.8968357;-3904378.02478516;-6706307.3813903;3104944.767514
96;-64049524.624364;3320853.76915006;2133893.70276091;-6662180.55805553;6299472.75798839
97;-81947078.3827523;14913636.1244383;-3702614.09334576;-6219384.07809865;5024412.97515096
98;-64881580.3966482;-883261.641921045;-13498813.2386397;2043454.54264557;4049378.26702513
99;-110755064.177795;-5154763.15224964;-7109613.4461527;3231860.50245319;1628786.28133257
100;-101564131.746822;-2184187.76767783;-14166287.8009676;3123587.02137131;-191791.287729322
101;-80734880.0518492;-727517.647735058;-15893772.6754427;2749391.25247365;-342927.981916726
102;-101781751.830936;593527.2985671;-16524194.0531222;2411716.24703686;-1841974.59358444
103;-86928867.8634241;-1135348.8710455;-17496675.0516729;1823283.76610941;-2372383.2870649
104;-93122644.0630713;-1098282.68333699;-16782589.849123;2700500.92167866;-1713325.29002954
105;-69762271.9133341;-376094.248348429;-15746223.3489751;1742006.19333932;-3108556.42620902
106;-70005381.7074334;-1579417.5377515;-16582275.9566791;2128708.82706713;-3012160.79171577
107;-87867292.0070506;407797.1836106;-16064487.9277891;3084278.5467022;-1352262.63948648
108;-86526512.4991009;-613288.984026214;-16657333.2559083;2359639.2196794;-2124311.90058203
109;-87850100.7898514;-1187981.68600866;-14590960.9648372;1891129.67914879;-1176113.73009855
110;-124368868.05614;-552666.622947503;-9829560.69542719;4565203.39813127;703055.976374362
111;-80575406.4553245;-2166113.67971504;-13435890.7607524;2250063.85340919;1636858.25701071
112;-72169618.0736115;-891173.914253037;-16671863.3497882;2586337.42058031;3380780.03861193
113;-90676535.6666995;10060566.3810779;-5730174.48507864;-2940797.65396106;5560632.18626536
114;-74944051.1489324;98139.6478820902;3885376.65383779;-4833109.78490219;7029103.13568042
115;-74614683.5205636;15419345.0845904;-753644.619218642;-6323015.43119552;7400607.41314894
116;-88606067.9346772;5863402.29079287;-7909923.82148105;-3498621.32632591;6836893.2706734
117;-67233167.2400709;5064334.52670852;-10684060.3022294;-2956278.98956877;2936277.13261641
118;-84841577.1957672;8210851.24534559;-5109185.76608958;-6591074.8308399;4057294.66572863
119;-60948979.100629;7972190.88795293;4771060.1918492;-11691183.697146;3365736.99264183
120;-66667800.473867;9624315.38852187;36529.317765317;-9482601.03649444;5040034.80876759
121;-82269156.8266112;9076935.86803607;-2376317.02586058;-9127658.37533742;4184098.46628312
122;-97544888.4775079;9385978.42833954;-5578433.18948317;-8205183.33067588;590453.153928305
123;-97522462.4604697;7312322.16533553;-6240767.34899557;-7011186.67449327;2374568.07397256
124;-101352924.918591;7255887.4168446;-4394237.08503407;-7689969.464766;3151582.74241762
125;-84091832.9582259;10344649.5602704;-3273327.77837363;-8664296.9108131;1924033.24881283
126;-71963953.5209376;10508928.8312424;-2937676.73665514;-7721012.73975989;1352796.13577002
127;-75101563.7817647;11411455.6616059;-4754493.57536801;-8589669.17557137;1660245.56629554
128;-72305071.6522935;10585552.4556411;-3047558.33638371;-10189215.1979465;1539704.76567572
129;-64892957.652118;4487986.67824499;-5990664.6853275;-6554583.91712298;-1699304.90984947
130;-75726441.0652058;-1874910.71750907;-19107597.9525011;650532.813772182;-439164.066946483
131;-112752156.131027;-7646107.02035221;-8520070.81057592;1253357.05023454;507108.856056171
132;-76585625.7244566;-2377305.16741327;-17484789.7896603;2124239.71966965;206040.624414516
133;-89614306.098324;7458628.74826812;-11504214.693458;-2926964.31835376;806182.496422785
134;-91663251.7480192;12731752.0141886;-4638414.28500237;-7250818.24950652;3127306.16573198
135;-65151507.7102025;12906699.7046126;-3400349.69365653;-5260095.43880956;4485915.70395531
136;-49650945.6376832;16950191.2743765;6537.47442265437;-8645107.47598351;3364262.88826481
137;-68735686.9251933;301283.862702837;-14827656.4585117;641708.67368625;1729079.11665213
138;-113985096.917937;-4990728.47695038;-8003002.72388892;2726120.68830534;712680.654710394
139;-89685196.7360679;-117848.380935203;-18105535.8100053;2251051.86280488;-204465.893773654
140;-86239450.0290392;1909048.28504106;-16269375.0892822;3015405.53969632;-1112474.04406446
141;-80785455.0426103;1945595.14732784;-16481405.4620979;2857939.93813146;-1482037.75869231
142;-88292191.2919023;546015.90521902;-17451866.2561886;2343411.69531774;-1663962.93244149
143;-81521653.0110843;1725113.51741554;-16391546.5872695;2041054.04514335;-2607150.19154705
144;-80623710.2306354;261436.718893482;-17233960.7333377;2400901.44311725;-2098543.58135606
145;-75176139.4129773;154750.374961964;-17319909.4189051;2064352.49513394;-1939295.39315526
146;-84353471.977869;456074.097611247;-16825528.5058337;2142259.26736749;-1612548.61041667
147;-82691675.2903172;-277438.218992766;-16875810.8610812;3179102.7204356;-1625805.06721357
148;-88921680.8315609;-1488238.44496405;-16230225.1514196;3279954.6740468;-2890545.25286002
